device,aperiodic domain count,first party,support party,third party
amazon-plug,3,3,0,0
aqara-hub,1,1,0,0
brewer,1,0,0,1
bulb1,0,0,0,0
dlink-camera,0,0,0,0
dlink-mov,2,2,0,0
echodot,9,9,0,0
echodot3a,8,8,0,0
echodot4b,9,7,0,2
echoflex1,11,10,0,1
echoplus,16,16,0,0
echoshow5,28,27,0,1
echospot,14,14,0,0
fridge,15,8,1,6
google-home-mini,12,12,0,0
google-nest-mini1,15,15,0,0
gosund-bulb1,0,0,0,0
govee-led1,1,0,1,0
homepod-mini1,19,14,4,1
homepod,23,20,3,0
icsee-doorbell,0,0,0,0
ikea-hub,2,1,1,0
ikettle,1,0,1,0
keyco-air,1,0,0,1
lefun-cam-wired,0,0,0,0
magichome-strip,1,1,0,0
meross-dooropener,0,0,0,0
microseven-camera,0,0,0,0
microwave,2,2,0,0
nest-tstat,5,5,0,0
philips-bulb,1,0,0,1
ring-camera,1,1,0,0
ring-chime1,2,2,0,0
ring-doorbell,1,1,0,0
smartlife-bulb,1,1,0,0
smartthings-hub,3,3,0,0
sousvide,0,0,0,0
switchbot-hub,0,0,0,0
t-philips-hub,2,2,0,0
t-wemo-plug,0,0,0,0
thermopro-sensor,1,1,0,0
tplink-bulb,2,0,0,2
tplink-plug,1,0,0,1
tuya-camera,0,0,0,0
ubell-doorbell,0,0,0,0
wansview-cam-wired,1,0,0,1
wink-hub2,0,0,0,0
wyze-cam,6,2,4,0
yi-camera,0,0,0,0
